Removed Pin From Net: NetName=GND Pin=C16-1
Removed Pin From Net: NetName=FMU_VBAT Pin=C16-2
Removed Pin From Net: NetName=GND Pin=C42-1
Removed Pin From Net: NetName=VDD_5V_IN Pin=C42-2
Removed Pin From Net: NetName=VBUS_VALID Pin=R42-1
Removed Pin From Net: NetName=VBUS Pin=R42-2
Removed Pin From Net: NetName=GND Pin=R43-1
Removed Pin From Net: NetName=VBUS Pin=R43-2
Removed Pin From Net: NetName=VDD_BRICK_VALID Pin=R44-1
Removed Pin From Net: NetName=NetC41_1 Pin=R44-2
Removed Pin From Net: NetName=GND Pin=R45-1
Removed Pin From Net: NetName=VDD_BRICK_VALID Pin=R45-2
Removed Pin From Net: NetName=GND Pin=R46-1
Removed Pin From Net: NetName=NetLED1_1 Pin=R46-2
Change Component Footprint: Designator=R43 Old Footprint=AXIAL-0.4 New Footprint=FP-CRCW0603-e3-IPC_A
Change Component Footprint: Designator=R44 Old Footprint=AXIAL-0.4 New Footprint=FP-CRCW0603-e3-MFG
Change Component Footprint: Designator=R45 Old Footprint=AXIAL-0.4 New Footprint=FP-CRCW0603-e3-MFG
Change Component Footprint: Designator=R46 Old Footprint=AXIAL-0.4 New Footprint=FP-CRCW0603-e3-MFG
Change Component Footprint: Designator=R42 Old Footprint=AXIAL-0.4 New Footprint=FP-ERJ3G-IPC_C
Change Component Footprint: Designator=C16 Old Footprint=FP-TAJR-MFG New Footprint=FP-GRM188-0_2-MFG
Change Component Footprint: Designator=C41 Old Footprint=RAD-0.3 New Footprint=FP-C3216-160-0_3-IPC_C
Change Component Footprint: Designator=C42 Old Footprint=RAD-0.3 New Footprint=FP-C3216-160-0_3-IPC_C
Change Component Comment : Designator=C41 Old Comment=Cap New Comment=C3216X5R1A107M160AC
Change Component Comment : Designator=C42 Old Comment=Cap New Comment=C3216X5R1A107M160AC
Change Component Comment : Designator=R44 Old Comment=Res2 New Comment=CRCW0603220RFKEB
Change Component Comment : Designator=R45 Old Comment=Res2 New Comment=CRCW0603220RFKEB
Change Component Comment : Designator=R46 Old Comment=Res2 New Comment=CRCW0603220RFKEB
Change Component Comment : Designator=R43 Old Comment=Res2 New Comment=CRCW0603470RJNEA
Change Component Comment : Designator=R42 Old Comment=Res2 New Comment=ERJ-3GEYJ103V
Change Component Comment : Designator=C16 Old Comment=TAJR226K004RNJ New Comment=GRM188R60G226MEA0D
Change Managed Component Library Link : Designator=C16 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=0467740A-AEC0-467C-B847-1FBB38F5F27D New ItemGUID=2D25868C-BF4B-4884-A526-B072A923443B Old RevisionGUID=0B254BC2-FDD2-4E58-ADBA-41A541912547 New RevisionGUID=11647FF7-703B-49A6-8CB8-9EE50A5FE9B9
Change Managed Component Library Link : Designator=C41 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=DA478240-11D5-4175-8C64-3EB81FAC8713 Old RevisionGUID= New RevisionGUID=BDB95A18-8086-4BF9-90CF-8573832A4DFC
Change Managed Component Library Link : Designator=C42 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=DA478240-11D5-4175-8C64-3EB81FAC8713 Old RevisionGUID= New RevisionGUID=BDB95A18-8086-4BF9-90CF-8573832A4DFC
Change Managed Component Library Link : Designator=R42 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=11D91C02-A56D-42BA-B773-75CF84554C33 Old RevisionGUID= New RevisionGUID=68C24239-4EA5-481F-B02C-149657901437
Change Managed Component Library Link : Designator=R43 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=2C8AA9C7-DE97-4613-AC3E-4918D9C5A8F2 Old RevisionGUID= New RevisionGUID=B28203EB-CCBA-4F3E-98C4-F68A2E41BC55
Change Managed Component Library Link : Designator=R44 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=69E9E144-5AD0-4AB8-ADA3-34D28E7FF57F Old RevisionGUID= New RevisionGUID=DBF5CA61-F6A5-4BB9-A685-DA7EABB8C711
Change Managed Component Library Link : Designator=R45 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=69E9E144-5AD0-4AB8-ADA3-34D28E7FF57F Old RevisionGUID= New RevisionGUID=DBF5CA61-F6A5-4BB9-A685-DA7EABB8C711
Change Managed Component Library Link : Designator=R46 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=69E9E144-5AD0-4AB8-ADA3-34D28E7FF57F Old RevisionGUID= New RevisionGUID=DBF5CA61-F6A5-4BB9-A685-DA7EABB8C711
Change component parameters: Designator = "C16" ("C16"); Footprint = "FP-TAJR-MFG"; UniqueID = "\JBCHOHPJ" ("\JBCHOHPJ")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "22uF 4V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "4000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "4V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "4V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "4V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R44" ("R44"); Footprint = "AXIAL-0.4"; UniqueID = "\VMHKXHCO" ("\VMHKXHCO")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.85mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.02inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.55mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "100mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "220R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "75V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "7.1E-05oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.85mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R45" ("R45"); Footprint = "AXIAL-0.4"; UniqueID = "\KRURQSIF" ("\KRURQSIF")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
